iter	Passed	Remaining
1208	10473	15515
1209	10482	15507
1210	10494	15504
1211	10520	15520
1212	10534	15519
1213	10557	15532
1214	10571	15531
1215	10578	15519
1216	10585	15508
1217	10592	15497
1218	10600	15487
1219	10608	15477
1220	10619	15472
1221	10627	15462
1222	10631	15447
1223	10635	15432
1224	10640	15417
1225	10644	15401
1226	10651	15391
1227	10661	15383
1228	10666	15370
1229	10674	15360
1230	10684	15353
1231	10692	15344
1232	10701	15336
1233	10707	15323
1234	10715	15314
1235	10729	15313
1236	10739	15305
1237	10747	15296
1238	10755	15287
1239	10763	15277
1240	10780	15279
1241	10788	15270
1242	10797	15262
1243	10804	15251
1244	10810	15239
1245	10817	15228
1246	10823	15215
1247	10833	15208
1248	10838	15194
1249	10847	15186
1250	10853	15174
1251	10860	15163
1252	10868	15153
1253	10876	15143
1254	10883	15133
1255	10891	15123
1256	10898	15112
1257	10905	15101
1258	10913	15091
1259	10920	15080
1260	10926	15068
1261	10933	15057
1262	10939	15045
1263	10947	15035
1264	10955	15025
1265	10961	15013
1266	10968	15002
1267	10976	14993
1268	10984	14983
1269	10993	14975
1270	11000	14965
1271	11009	14956
1272	11021	14952
1273	11027	14940
1274	11035	14930
1275	11045	14922
1276	11052	14912
1277	11062	14906
1278	11072	14899
1279	11081	14891
1280	11088	14880
1281	11096	14870
1282	11103	14859
1283	11109	14847
1284	11120	14841
1285	11128	14831
1286	11135	14821
1287	11143	14811
1288	11151	14802
1289	11160	14793
1290	11193	14817
1291	11204	14812
1292	11211	14800
1293	11218	14790
1294	11225	14779
1295	11231	14767
1296	11238	14756
1297	11246	14746
1298	11262	14747
1299	11270	14737
1300	11279	14729
1301	11288	14722
1302	11299	14716
1303	11306	14704
1304	11314	14695
1305	11323	14687
1306	11330	14676
1307	11337	14665
1308	11345	14656
1309	11353	14647
1310	11362	14638
1311	11375	14635
1312	11383	14625
1313	11389	14613
1314	11397	14604
1315	11402	14591
1316	11409	14580
1317	11416	14568
1318	11422	14557
1319	11431	14549
1320	11438	14538
1321	11446	14528
1322	11454	14519
1323	11461	14509
1324	11467	14497
1325	11476	14488
1326	11482	14475
1327	11490	14466
1328	11498	14457
1329	11505	14447
1330	11514	14438
1331	11522	14428
1332	11531	14420
1333	11539	14410
1334	11546	14401
1335	11554	14391
1336	11564	14384
1337	11574	14377
1338	11582	14368
1339	11589	14357
1340	11597	14347
1341	11606	14339
1342	11613	14328
1343	11622	14320
1344	11629	14309
1345	11637	14299
1346	11644	14289
1347	11651	14279
1348	11657	14267
1349	11664	14256
1350	11671	14245
1351	11681	14239
1352	11687	14227
1353	11696	14218
1354	11702	14207
1355	11709	14197
1356	11718	14188
1357	11729	14183
1358	11747	14184
1359	11757	14178
1360	11771	14175
1361	11776	14163
1362	11785	14154
1363	11794	14145
1364	11803	14137
1365	11817	14135
1366	11827	14129
1367	11838	14122
1368	11846	14113
1369	11853	14102
1370	11859	14091
1371	11865	14078
1372	11872	14069
1373	11885	14064
1374	11895	14057
1375	11903	14048
1376	11909	14036
1377	11915	14025
1378	11924	14017
1379	11932	14007
1380	11937	13994
1381	11943	13983
1382	11951	13974
1383	11961	13966
1384	11966	13953
1385	11974	13944
1386	11981	13933
1387	11990	13925
1388	11998	13916
1389	12007	13907
1390	12012	13895
1391	12019	13884
1392	12027	13875
1393	12042	13873
1394	12051	13865
1395	12060	13858
1396	12067	13846
1397	12075	13837
1398	12083	13827
1399	12089	13817
1400	12094	13803
1401	12102	13794
1402	12112	13787
1403	12120	13778
1404	12129	13769
1405	12139	13763
1406	12146	13751
1407	12153	13742
1408	12162	13733
1409	12168	13721
1410	12175	13711
1411	12181	13700
1412	12190	13691
1413	12225	13712
1414	12236	13706
1415	12244	13697
1416	12252	13688
1417	12259	13677
1418	12264	13665
1419	12270	13652
1420	12277	13642
1421	12286	13634
1422	12294	13625
1423	12300	13612
1424	12306	13602
1425	12315	13593
1426	12322	13583
1427	12335	13578
1428	12343	13569
1429	12354	13564
1430	12361	13553
1431	12367	13541
1432	12376	13533
1433	12384	13524
1434	12391	13514
1435	12397	13502
1436	12403	13490
1437	12411	13481
1438	12421	13474
1439	12428	13464
1440	12437	13455
1441	12444	13445
1442	12450	13433
1443	12456	13422
1444	12465	13414
1445	12473	13405
1446	12482	13396
1447	12491	13388
1448	12497	13377
1449	12505	13368
1450	12511	13357
1451	12516	13344
1452	12525	13335
1453	12532	13325
1454	12543	13319
1455	12551	13310
1456	12555	13297
1457	12562	13286
1458	12571	13277
1459	12578	13267
1460	12584	13256
1461	12593	13248
1462	12602	13240
1463	12610	13230
1464	12616	13219
1465	12624	13209
1466	12631	13199
1467	12637	13187
1468	12642	13176
1469	12651	13167
1470	12656	13155
1471	12666	13148
1472	12677	13142
1473	12684	13131
1474	12691	13122
1475	12700	13113
1476	12711	13107
1477	12718	13097
1478	12727	13089
1479	12733	13077
1480	12741	13068
1481	12751	13060
1482	12759	13051
1483	12768	13044
1484	12775	13033
1485	12784	13025
1486	12789	13013
1487	12795	13002
1488	12804	12993
1489	12813	12985
1490	12823	12978
1491	12831	12968
1492	12837	12958
1493	12851	12954
1494	12858	12944
1495	12867	12936
1496	12877	12928
1497	12885	12919
1498	12891	12909
1499	12897	12897
1500	12902	12885
1501	12913	12879
1502	12922	12871
1503	12931	12862
1504	12940	12854
1505	12945	12841
1506	12953	12833
1507	12961	12824
1508	12970	12815
1509	12979	12807
1510	12986	12796
1511	12998	12792
1512	13008	12784
1513	13013	12772
1514	13020	12762
1515	13029	12754
1516	13035	12743
1517	13044	12735
1518	13051	12725
1519	13059	12715
1520	13067	12706
1521	13074	12696
1522	13084	12689
1523	13088	12676
1524	13094	12665
1525	13098	12652
1526	13105	12642
1527	13114	12633
1528	13119	12622
1529	13126	12611
1530	13133	12601
1531	13141	12592
1532	13149	12583
1533	13155	12572
1534	13160	12560
1535	13166	12549
1536	13172	12538
1537	13181	12530
1538	13188	12519
1539	13195	12509
1540	13204	12502
1541	13211	12492
1542	13223	12486
1543	13234	12480
1544	13241	12470
1545	13250	12461
1546	13257	12451
1547	13265	12442
1548	13279	12439
1549	13301	12442
1550	13306	12431
1551	13311	12419
1552	13319	12410
1553	13324	12398
1554	13333	12390
1555	13340	12379
1556	13344	12367
1557	13353	12358
1558	13361	12349
1559	13375	12347
1560	13382	12336
1561	13391	12328
1562	13400	12320
1563	13407	12310
1564	13413	12299
1565	13419	12288
1566	13424	12276
1567	13435	12270
1568	13447	12264
1569	13454	12254
1570	13462	12245
1571	13467	12234
1572	13474	12223
1573	13480	12212
1574	13490	12205
1575	13500	12198
1576	13509	12189
1577	13518	12182
1578	13533	12178
1579	13549	12177
1580	13560	12171
1581	13572	12165
1582	13581	12157
1583	13591	12149
1584	13598	12140
1585	13615	12139
1586	13636	12141
1587	13655	12141
1588	13665	12135
1589	13678	12129
1590	13694	12127
1591	13704	12120
1592	13722	12119
1593	13748	12126
1594	13762	12123
1595	13781	12123
1596	13793	12117
1597	13802	12109
1598	13817	12106
1599	13833	12103
1600	13845	12098
1601	13849	12086
1602	13855	12075
1603	13860	12063
1604	13867	12053
1605	13878	12046
1606	13885	12036
1607	13895	12028
1608	13900	12017
1609	13907	12006
1610	13915	11997
1611	13926	11991
1612	13935	11982
1613	13946	11976
1614	13958	11971
1615	13971	11965
1616	13983	11959
1617	13992	11951
1618	14008	11949
1619	14020	11943
1620	14029	11935
1621	14038	11927
1622	14048	11919
1623	14056	11909
1624	14064	11900
1625	14075	11893
1626	14085	11886
1627	14093	11877
1628	14101	11868
1629	14111	11860
1630	14119	11851
1631	14129	11843
1632	14138	11835
1633	14147	11826
1634	14155	11817
1635	14163	11808
1636	14171	11799
1637	14181	11791
1638	14192	11785
1639	14200	11775
1640	14212	11770
1641	14220	11760
1642	14228	11751
1643	14237	11743
1644	14245	11733
1645	14254	11726
1646	14264	11717
1647	14273	11709
1648	14282	11701
1649	14293	11695
1650	14301	11685
1651	14311	11677
1652	14319	11668
1653	14326	11658
1654	14340	11654
1655	14349	11645
1656	14361	11639
1657	14376	11636
1658	14406	11645
1659	14417	11638
1660	14437	11638
1661	14445	11629
1662	14453	11619
1663	14462	11611
1664	14473	11604
1665	14482	11596
1666	14494	11590
1667	14512	11589
1668	14524	11583
1669	14533	11574
